key,0,1,2
7,[第7期],宇宙飛線向東南區域延伸,宇宙飛線目前已經通到了憧憬灣東南部的婚慶威的實驗園！<hex:02100103><hex:02100103>這片區域是土壤改良的實驗場，因為月球的土質不太適合栽培植物，我們投用了營養劑。<hex:02100103>這項計劃的負責人是個叫婚慶威的兔兔族，他和來自薩雷安的植物學家正在共同嘗試各種植物和菌類的繁殖與雜交。另外，據說總在嘆息海欣賞奇異菌類的愛情威也經常出入這裡……也許這就是實驗園裡的蘑菇遠比花多的原因。
8,[第8期],穿行威隧道開通,貫穿西南部環形山的穿行威隧道現已開通！<hex:02100103><hex:02100103>這座環形山名為閃亮山，山體由非常堅硬的水晶層與較為柔軟的岩石層混合組成，此次隧道建設對於我們來說是一次檢驗技術實力的絕佳機會。<hex:02100103>為此我們和薩雷安的研究者共同設計了新的盾構法，促成了隧道的順利完工。<hex:02100103>想必本次施工的經驗也能靈活運用到未來的外星探索之中！
9,[第9期],宇宙飛線向隧道內部區域延伸,宇宙飛線目前已經通到了憧憬灣西南部的穿行威隧道內部區域！<hex:02100103><hex:02100103>在穿行威隧道內部，不但有可能採掘到特殊礦物，我們還發現了過去墜落的古代亞拉戈文明的遺物。如果能有效利用這些資源，宇宙探索計劃應該能取得進一步發展。
10,[第10期],進一步擴建月門基地,真是令人感嘆，我似乎看到一座新的城市正在這月面之上拔地而起。在各位的幫助下，月門基地新一輪的擴建已經完成！<hex:02100103><hex:02100103>在本次擴建中，為了使分散配置的各類設施能更有效率地配合，我們進一步整建了道路、隔離牆以及管線等設施。<hex:02100103>除了改善居住環境以外，我們還對備用物資的供給處進行了改建，歡迎各位協助者們繼續光臨。<hex:02100103><hex:02100103>不過目前仍然存在一些問題，我們會繼續擴充這座基地的設施！
11,[第11期],能源與水利設施竣工,在各位的幫助下，新的發電站與供水站建設完成了！<hex:02100103><hex:02100103>電力對宇宙飛船而言是不可或缺的，因此能夠產生龐大電力的發電站對宇宙探索計劃來說有著極為重要的意義。<hex:02100103>另外，淨水設施能利用中控水晶的力量淨化從魔泉汲取的水，提高了獲取飲用水的便捷性。<hex:02100103>能源和水——這兩處設施的建立為我們架起了生命線！
12,[第12期],機甲庫和宇宙港完工,機甲庫和宇宙港的建設終於完工了！<hex:02100103><hex:02100103>兩處設施現在均經由地下雷線直連發電站，針對機甲和宇宙飛船的能源供給體系也已完備。<hex:02100103>另一方面，為了應對發電站發生故障的情況，在機甲庫和宇宙港都配有小型輔助發電設備，作為備用能源。<hex:02100103>居安思危，時常為最壞的情況做好準備是非常重要的！
13,[第13期],開通月底升降梯,為了前往憧憬灣東北部地裂之下的巨大空間，我們開通了月底升降梯！<hex:02100103><hex:02100103>這片空間是由無人機調查發現的，為了給外星探索積累經驗，我們決定在這裡開路並開採資源。<hex:02100103>我們靈活運用挖掘隧道時積累的經驗，建造了能夠搭載重型機械的升降梯，這一成功讓我們士氣大振。<hex:02100103><hex:02100103>另外，成功探索月底一帶後，我們就探索過憧憬灣的所有區域了。<hex:02100103>今後我們仍會步履不停，繼續推進宇宙探索計劃！
14,[第14期],宇宙飛線向月底延伸,宇宙飛線目前已經通到了憧憬灣東北部的月底區域！<hex:02100103>現在我們能通過宇宙飛線往來於憧憬灣全域了！<hex:02100103><hex:02100103>雖然施工的過程困難重重，但我們終於能夠便捷地移動到魔泉瀑布和生長著大量菌類的小洞窟了，這算是巨大的收穫。<hex:02100103>這些成功的經驗將來在探索外星的過程中一定能派上用場。讓我們今後繼續通力合作吧！
15,[第15期],月上跳跳城竣工,在月門基地的中央張開了一個巨大的圓形穹頂，宛如月面之上升起了另一輪明月，令人嘆為觀止！<hex:02100103><hex:02100103>它的名字是「月上跳跳城」！<hex:02100103>我們聚集在穹頂之下，渴望著從月面起跳，前往光輝燦爛的星河……這就是月上跳跳城名字的由來。<hex:02100103><hex:02100103>在設計方面，我們採用了圓形的穹頂覆蓋住這座城市，這樣既能減輕隕石擊中中控水晶的風險，也能為大家提供安心的生活保障。<hex:02100103>希望研究員們和兔兔族在四處奔忙之餘，在這裡隨意小憩、放鬆身心。<hex:02100103>這座憧憬灣中央設施的完工，同時也意味著我們在月面之上的探索告一段落。<hex:02100103>這段時間我們獲得了許多人的鼎力相助，我在此鄭重地向大家表示感謝！
16,[第16期],對未知群星的憧憬從月球啟航,目前計劃中的全部設施均已建設完成，準備就緒的新飛船正在宇宙港裡蓄勢待發！<hex:02100103><hex:02100103>回首那些日日夜夜，我們不辭辛勞、揮汗如雨。<hex:02100103>當查明威主任和各位人類不經意間仰望黑暗深邃的太空，眼中映入群星的光輝之時……在一賞此番美景的瞬間，我在日誌中所寫下的種種艱難困苦便成為了過去。<hex:02100103><hex:02100103>好了，是時候飛向群星，展開新的探索之旅了！<hex:02100103>本人衷心期待著今後繼續為宇宙探索的軌跡記錄新的篇章！
17,[第1期],法恩娜行星探索計劃開始,即日起將繼續由本人時評威執筆，為各位讀者記錄我們在法恩娜行星的探索腳步。<hex:02100103>還請各位繼續多多支持！<hex:02100103><hex:02100103>言歸正傳，我們的宇宙飛船銀河威號終於離開月面踏上旅程，經過宙脈跳躍來到了法恩娜行星。<hex:02100103>我們之所以選擇這顆星球作為最初的目的地，是因為確認到這裡埋藏有豐富的的矽元素資源，而且這裡獨特的環境也極大地激發了我們的探索欲！<hex:02100103><hex:02100103>在先遣隊的活躍表現下，曾在憧憬灣進行過設營測試的各類工具裝設完畢，新建成的玻璃匠基地開始運轉。<hex:02100103>目前基地的功能還非常有限，需要運來並投入更多的物資才能進一步擴充。接下來希望能和各位協助者們通力合作，不斷擴建基地並探索星球。
18,[第2期],擴建玻璃匠基地,通過最大化利用銀河威號，從月球搬運物資的工作進展順利！<hex:02100103>多虧了大家的幫助，玻璃匠基地中的設備逐漸充實了起來。<hex:02100103><hex:02100103>法恩娜行星總是在不斷降下玻璃雨和灰塵，因為環境限制，本基地最大的特徵是選址在了一處巨大的岩洞內。<hex:02100103>而岩洞中的空間是有限的，今後在配置各種設施時，需要提前做好規劃！<hex:02100103>所幸各位技術人員們全都摩拳擦掌，為建設提出了各種計劃。想必不久後這裡就能成為一座很棒的基地吧。
19,[第3期],建設宇宙飛線,目前我們開始在法恩娜行星建設宇宙飛線了！<hex:02100103>說到底，宇宙飛線就是因為預想到外星環境中可能沒有穩定的地脈與風脈而開發的一種移動手段。<hex:02100103>現在終於能在預想中的環境下讓它發揮作用了！<hex:02100103><hex:02100103>策劃部的諸位研究者以及技術人員們尤其期待看到它完成的那一天。<hex:02100103>畢竟和協助計劃的冒險者們不同，許多研究者都有些缺乏自信。<hex:02100103>有了能把所有人都精準迅速送到目的地的宇宙飛線，才能更有效率地推進探索計劃！<hex:02100103>首先就從基地周邊開始建設，使其為這一帶的探索發揮作用吧。
20,[第4期],居住艙竣工,法恩娜行星的居住艙竣工了！<hex:02100103>與憧憬灣的居住艙相比，這次居住艙的設計更加註重居住的舒適性，保留了更寬敞的公共空間。<hex:02100103><hex:02100103>原本的方舟計劃目的就是讓來自亞伊太利斯的市民能長期在外太空生活……為了能讓大家生活得更加舒適，下了不少功夫來進行設計和優化。<hex:02100103><hex:02100103>而將要在此次的居住艙生活的研究者和技術人員們常說，能有個地方睡覺就好。在和項目經理姆姆珂商量過以後，我們採用了相比方舟計劃更為緊湊化的設計。
21,[第5期],能源與水利設施竣工,適應法恩娜行星環境的發電站與供水站建設完成了！<hex:02100103><hex:02100103>這顆星球的水資源大部分都含有極高的矽元素，並不適合直接用作生活用水。<hex:02100103>為此，通過供水站來淨化水源就成了必不可少的工序！<hex:02100103>而發電站則會供給電力從能源層面支撐接下來的探索計劃。<hex:02100103>這兩處設施開始工作，意味著今後我們在這顆星球的探索進程會不斷加快！
22,[第6期],機甲庫功能強化,目前各類機甲正在法恩娜行星上大顯身手。<hex:02100103>這雖然是值得高興的事，但反過來想的話，如果因為事故損失了哪怕一台機甲，都會不可避免地為計劃帶來負面影響。<hex:02100103><hex:02100103>為此我們將機甲庫的位置選在了一處隧道口，這裡不但受到隧道頂部與岩壁的保護，而且還能較為方便地前往各處。<hex:02100103>這次機甲庫也使用了改良後的集裝箱型設計，安全性進一步提高，使機甲能夠更為穩定地投入到工作中！
23,[第7期],宇宙飛線向對岸區域延伸,宇宙飛線目前已經通到了堿石灰河對岸的西部到南部的區域！<hex:02100103><hex:02100103>這一帶的溪谷應該是受河流侵蝕而形成，地形非常複雜，人員移動與物資輸送都極為不便，為此需要盡快將宇宙飛線鋪設完成。<hex:02100103>然而法恩娜行星有著特有的玻璃質大地，有些地方難以承受重型機械與設施的重量，我們在選擇施工地點上花費了不少時間。<hex:02100103>技術專家們經過縝密的地質調查，終於找到了適合的施工地點，使得這次的鋪設圓滿成功！
24,[第8期],嵌花升降機竣工,膠囊峽谷是法恩娜行星的一處地下大空洞，它位於堿石灰河瀑布的正下方，其底部形成了許多互相重疊的大型玻璃球體。在這與地面隔絕的神秘環境中，一定有著許多令人興奮的未知正在等待著我們！<hex:02100103>為了探索膠囊峽谷的深處，我們開發出了嵌花升降機！<hex:02100103><hex:02100103>所謂的「嵌花」，是指在玻璃工藝中將分別製作的部件貼合在一起，再通過高溫燒製融合的技法。<hex:02100103>我們從中得到靈感，在空洞外圍結實的地層上裝設升降機，以此為立足點下降到了空洞的底部。<hex:02100103><hex:02100103>我們之前在建設宇宙飛線時期磨練出的地質調查技術，以及在憧憬灣建設隧道以及升降梯時用過的精密施工技術，全都應用到了這次升降機的建設工程中！
25,[第9期],宇宙飛線向膠囊峽谷底部延伸,宇宙飛線成功通到了膠囊峽谷的底部！<hex:02100103><hex:02100103>這個地方有很多互相重疊的不穩定玻璃球體，因此有人擔心在這裡鋪設宇宙飛線會不會很困難。<hex:02100103>我們在鋪設宇宙飛線時，除了需要將兩個站點之間的部件組裝在一起之外，還需要精確地設定好坐標。<hex:02100103>我們活用至今以來積累的經驗，慎重測定玻璃球體和堆積物的平衡閾值，將站點成功建設在了較為穩定的地點！<hex:02100103><hex:02100103>相信在這一高難度區域的成功施工將進一步增強我們的自信！
26,[第10期],進一步擴建玻璃匠基地,在大家的幫助下，玻璃匠基地得以擴建，這個據點現在已經可以讓人十分舒適地居住生活了。<hex:02100103><hex:02100103>為了配合洞窟的形狀，我們經過了縝密的計算，慎重考量每處設施的設定，才得以將基地擴建成了今天的樣子。<hex:02100103>許多設施並不是隨便擺在那裡就好，像是機甲和無人機的移動路線，還有線路以及管道的鋪設等等，需要考慮的問題堆積如山！<hex:02100103>參與到制定擴建計劃的諸位技術人員們那暗含驕傲的牢騷與報怨，我也聽到過不少呢！<hex:02100103><hex:02100103>為了能夠更進一步推進探索的進程，還有更為重大的建設計劃需要在這個基地中進行……但距離它完成的那一天還很遙遠。<hex:02100103>大家一起繼續加油努力吧！
27,[第11期],機甲庫進一步功能強化,目前基地內設施逐漸換上了以法恩娜行星產出的玻璃資源為材料的新內牆。<hex:02100103>機甲庫的內牆現也已替換完畢！<hex:02100103><hex:02100103>這種玻璃材料不但美觀，而且強度勝過鋼板，甚至還能用來把太陽能轉換為電能，簡直完美無缺！<hex:02100103>我們專門從亞伊太利斯招聘了玻璃工藝的專家，請他們和技術人員們一同開發出了這種劃時代的新建材，它是最新技術的結晶！<hex:02100103>相信新內牆的裝設也會大幅改善設施中電力有關的各種問題！
28,[第12期],宇宙港多功能化,宇宙港的功能現在得到了擴充！<hex:02100103><hex:02100103>今後我們不但能從這裡往返於憧憬灣，還能前往宇宙的更深處了。<hex:02100103>我們還為宇宙港增設了專用的發電站，大幅縮短了充能時間，單位時間的物資運輸量也得以增加！<hex:02100103><hex:02100103>飛船要來往於岩洞內部的玻璃匠基地，雖然看起來似乎不太安全，但經過細緻的路線設定之後，在啟航和返航中就都能實現安全的自動駕駛了。<hex:02100103>當然，在初次到達這裡時，航行威可是大秀了一把他那爐火純青的手動駕駛技巧呢！
29,[第13期],建設超級光能站,本次建設完成的超級光能站，是支撐玻璃匠基地能源供應的非常重要的設施！<hex:02100103><hex:02100103>雖然之前我們已經建好了發電站，但發電站是通過乙太的屬性轉換來產生電力的設施。<hex:02100103>而超級光能站則不然，它是能把法恩娜行星所在星系的恆星發射出的光能轉換為電能的設施。<hex:02100103><hex:02100103>如今基地內外都有許多機械投入到了工作中，電力自然是越多越好。<hex:02100103>現在有了這兩種發電設施同時運作，我們對能源使用的規劃就寬裕了許多，不再需要過度精打細算了！
30,[第14期],通過冷卻熔融玻璃擴大探索區域,通過建設無人機動員站，熔火湧道火山口熔融玻璃冷卻計劃大功告成！<hex:02100103><hex:02100103>法恩娜行星似乎有著非常激烈的地熱變化，在平原區域有時也能看到偶然形成的火山口。<hex:02100103>而熔火湧道就是這類熱源地帶之一，我們一邊盡量避免對行星環境產生不好的影響，一邊實驗性地對其實施了冷卻。<hex:02100103><hex:02100103>多虧了大家的幫助，這個計劃得以成功實施，我們能夠安全探索的區域也得以擴大了。<hex:02100103>經調查，對燒得通紅的玻璃溶液進行冷卻凝固，便可以使其固化成為了堿石灰河水那樣澄澈的水色玻璃。<hex:02100103>只要冷卻固化成功一次，之後便只需要通過無人機來投放冷卻材料，就能讓其維持在固體玻璃狀態，我們也可以在此處自由安全地進行探索了。<hex:02100103>通過調查這一區域，應該能幫助我們了解這顆星球的地質演化史。
31,[第15期],宇宙飛線向熔融玻璃地帶延伸,通往熔火湧道內側區域的宇宙飛線正式竣工！<hex:02100103>現在我們能夠輕鬆來往於目前探索計劃之內的所有區域了！<hex:02100103><hex:02100103>這次我們在建設站點前，應用了之前熔融玻璃冷卻計劃中使用過的無人機，將地基進行了徹底加固。<hex:02100103>雖然這些無人機只是微不足道的小型設備，但正是這些技術的結晶如今化為了這顆星球上四通八達的交通網！
32,[第16期],法恩娜觀星鏡竣工,令人驚嘆，在我們的玻璃匠基地內，用來遙望星空的大型天文望遠鏡——法恩娜觀星鏡建設完成！<hex:02100103><hex:02100103>法恩娜觀星鏡不但能夠看到遠方群星的外觀，還能夠用來觀測並推定每顆星球的天脈濃度。<hex:02100103>宇宙探索策劃部的目標是，用它來找出智慧生命體、或是未知文明留下的痕跡……為了實現這一目標，還需要各位天文學的專家們用它來一探宇宙的各個方位，用得到的數據來進行進一步的分析！<hex:02100103><hex:02100103>目前我們活用這顆星球上的資源，完成了我們當前最大的目標——天文望遠鏡，這標誌著我們在法恩娜行星上的計劃告一段落。<hex:02100103>這一成功離不開許多人們持之以恆的幫助，我再次衷心向大家表示感謝！
33,[第17期],遙望光輝的群星,目前本次計劃中的設施也已全部建設完成，只待再次乘坐銀河威號出發，前往映照在法恩娜觀星鏡中的新的星球了。<hex:02100103><hex:02100103>為了我們今後的探索計劃能夠順利展開，這麼一架大型觀測望遠鏡正是我們所需之物，如此想來，我們最初到訪的是這座玻璃星球真可謂是歪打正著了。<hex:02100103>對天文望遠鏡來說，精密的透鏡可以說是它的「瞳孔」，我們對其進行精煉、打磨，讓它作為望遠鏡的獨眼以熱誠的視線不斷遙望宇宙的遠方。<hex:02100103><hex:02100103>離開亞伊太利斯星系，經過在這顆星球上的探索活動，我們現在是否能夠在真正意義上稱得上是外星探索團了呢？<hex:02100103>而我們的旅程也才剛剛開始！<hex:02100103>朝向遙遠天外群星的光芒，用探索的腳步不斷刻畫出新的軌跡吧！
34,[第1期],挑戰！俄匊斯行星探索計劃,於此俄匊斯行星之上，將繼續由本人時評威執筆，為各位讀者記錄每日探索與研究的點滴歷程。<hex:02100103>定當竭力為各位讀者獻上精彩的報告！<hex:02100103><hex:02100103>言歸正傳，經由於法恩娜行星竣工的巨型天文望遠鏡「法恩娜觀星鏡」所進行的觀測，加之策劃部的研究團隊與魔法大學天文系的通力合作，我們已確定了下一階段的探查目標。<hex:02100103>雖然觀測到多顆候選行星，但此行星之所以被選中，正是因其重力異常所致的特異環境，以及尤為關鍵的是——其上發現了文明的痕跡！<hex:02100103>這顆行星究竟走過了怎樣的歲月？我等無不翹首以盼，甚至連耳朵都激動得微微顫動呢。<hex:02100103><hex:02100103>儘管歷經重力異常導致的地表崩壞，那座巍然屹立的行星最大構造體，將被作為大地基地投入運用，並計劃逐步整備周邊據點設施。<hex:02100103>懇請諸位協力者鼎力相助，在此先行致謝！
35,[第2期],居住艙竣工,配合大地基地的內外整修，俄匊斯行星上的居住艙現已正式竣工！<hex:02100103>相較於以往在月面演習及法恩娜行星上展開據點時以自然環境整備為主，這次邊清理遺蹟瓦礫邊施工的體驗著實令人耳目一新。<hex:02100103><hex:02100103>那些懸浮的巖石在探索過程中可能構成危險，必須進行轉移處理。<hex:02100103>不過理所當然的，整備作業期間已同步完成巖體位置與懸浮物重量等數據的測量工作，這些資料都已作為完善的研究記錄儲存了下來！<hex:02100103>居住艙內部精心設定了重力系魔法調控系統，確保就寢期間也能維持安全舒適的環境。<hex:02100103>據悉現在正通過持續實驗，致力於為每顆行星打造適宜的居住環境。
36,[第3期],宇宙飛線大範圍展開,以巨石城為中心的荒野地帶，現已完成宇宙飛線的大規模鋪設！<hex:02100103>此次工程能迅速竣工，可說是長期規劃中積累的技術經驗結出的碩果。<hex:02100103>謹向參與施工的各位技術人員致以最誠摯的謝意！<hex:02100103>值得一提的是，宇宙飛線的移動技術原理類似於在已連線的兩個站點間構築穩固的以太通道。<hex:02100103>雖可稱之為人工風脈發生裝置，但以往需要精確設定雙向座標。<hex:02100103>而在俄匊斯行星上，為抑制重力異常引發的波動，特別強化了站點之間的連線功能……經過改良，現在已經能耐受一定程度的座標變動！<hex:02100103><hex:02100103>目前宇宙飛線已覆蓋所有可抵達區域，敬請多多搭乘宇宙飛線，助力後續探索事業！
37,[第4期],能源與水利設施竣工,現已成功建成適應俄匊斯行星環境的發電站與供水站！<hex:02100103><hex:02100103>在這顆重力異常的行星上，錯綜複雜的引力與斥力持續相互抗衡。<hex:02100103>如此特殊的環境，自然會對攜入的各類裝置造成影響。尤其是作為活動命脈的能源與水利設施，必須竭力避免執行故障。<hex:02100103>即便是儲存飲用水這般基礎作業，也需要傾注萬分謹慎。<hex:02100103><hex:02100103>為此，在設施地基、儲水容器及發電電池內部均施加了重力系魔法，有效提升了裝置執行的穩定性。
38,[第5期],重力控制器安裝完成,為推進對巨型浮游巖盤「藍裂幽陸」的探索，現以錨山為基點完成了重力控制器的部署！<hex:02100103><hex:02100103>該裝置通過循環激發重力系魔法術式，定向輻射至對岸巖盤並形成反射，由此產生強引力光束。<hex:02100103>此舉可匯聚周邊懸浮巖石，在陸塊間構築起足以充當橋樑的穩固通路。<hex:02100103><hex:02100103>據推測，藍裂幽陸原是與巨石城及周邊荒野處於相同海拔的陸地，后從地表剝離而形成。<hex:02100103>因此深埋地底的礦物得以顯露，預計能發現大量獨特資源……！<hex:02100103>後續探索實在令人期待！
39,[第6期],宇宙飛線向浮游巖盤延伸,自錨山向前延伸的宇宙飛線，現已成功開通至藍裂幽陸！<hex:02100103><hex:02100103>此前僅靠重力控制器構築的橋樑，不僅難以運輸重型樣本與物資，更有恐高癥的研究者反映：為繼續探索只能閉目匍匐前進。<hex:02100103>而宇宙飛線的開通將極大提升移動的可靠性與效率！<hex:02100103><hex:02100103>此外，該區域受高空重力球的影響更為顯著，在此開展宇宙飛線運營預計能為該技術的研究進一步收集寶貴數據。<hex:02100103>敬請各位日常多多搭乘使用！
40,[第7期],大地基地的擴充整備,為籌備中央設施的修復工作，現已對大地基地實施全面整修，在妥善儲存遺蹟的同時成功拓展基地功能！<hex:02100103><hex:02100103>不僅從發電站引入高輸出電能至設施內部，本次工程更完成了周邊各功能設施的線路鋪設，實現據點全域電力貫通。<hex:02100103>迎接計劃參與者的接待視窗與載具機庫等設施亦同步升級，相信將為大家的探索活動提供更佳體驗！<hex:02100103><hex:02100103>隨著周邊環境整備完成，接下來終於要向中央設施「自形晶」的修復工作發起挑戰了！
41,[第8期],中央設施自形晶恢復運轉,隨著結晶以太的成功活化，自形晶已重煥昔日光輝！<hex:02100103><hex:02100103>研究團隊推測該構造體實為巨型魔法記錄媒介，但因存在部分缺損，全面解析尚需時日。<hex:02100103>據說這塊自形晶以前是懸浮於空中的，其缺損很可能因墜落時受到衝擊而造成。<hex:02100103>即便如今恢復光輝，這塊自形晶也還是未能完全浮空……研究人員目前只是採取了應急措施，通過鐵製結構支架對其進行了支撐。<hex:02100103>另外，因為裝置的增加還引發了針對環境適應性方面的顧慮，因此目前採用俄匊斯行星的本土資源，在居住艙加裝了抗重力異常基板！<hex:02100103>此舉將助力實現更長期穩定的駐留生活！
42,[第9期],宇宙港功能升級,俄匊斯行星的門戶——宇宙港現已完成功能升級！<hex:02100103><hex:02100103>本次不僅增設了專用發電站，實現了高效充能，更配備了與居住艙同款的抗重力異常基板，顯著提升了起降時的穩定性。<hex:02100103>此外，通過優化各設施至宇宙港的路線，物資運輸效率也得到大幅改善！<hex:02100103><hex:02100103>其實此前因考慮到高空重力球的影響，對飛船載貨量設有嚴格限制。<hex:02100103>而現在隨著裝置升級，該限制得以解除……前往亞伊太利斯行星的物資運輸，乃至更深宇宙的探索都將獲得有力推進！<hex:02100103><hex:02100103>說到重力球的影響，近期在距離中控水晶較遠區域觀測到突發性地殼變動。<hex:02100103>這或許是預示著某種新發現的前兆……？
43,[第10期],荒漠地洞遺蹟入口挖掘,受重力球影響，翠核深谷中原本深埋地下的建築結構現已顯露地表。<hex:02100103>在眾人協助下清除泥沙巖塊后……竟發現了疑似通往內部的門扉！<hex:02100103><hex:02100103>因其形似沙鼠巢穴，故命名威將其命名為荒漠地洞遺蹟。<hex:02100103>或許在這扇門之後，隱藏著能解開先驅者文明奧秘的重大發現。<hex:02100103><hex:02100103>為保障探索效率，宇宙飛線已延伸至遺蹟門前。<hex:02100103>讓我們與基地研究團隊密切配合，共同推進後續的探索工作吧！
44,[第11期],荒漠地洞遺蹟門扉解鎖,經過不懈的修復作業，荒漠地洞遺蹟的塵封之門終告開啟！<hex:02100103>門扉中央的紋章煥發光輝……彷彿先驅者文明的片段正被悄然照亮。<hex:02100103>根據至今為止的調查，現已確認俄匊斯行星的遺蹟全都是依靠引導高濃度以太流通於結晶體來維持運作。<hex:02100103>看來先驅者們掌握著相當先進的以太學知識呢。<hex:02100103><hex:02100103>此外，遺蹟內的探索工作雖然才剛剛起步，但已事先架設好臨時的照明裝置，可確保安全入內勘察。<hex:02100103>鑑於遺蹟內已發現多處結晶體，若能成功啟用運轉，或許便能開啟通往下一區域的道路……！
45,[第12期],荒漠地洞遺蹟的導石修復完成,被命名為導石的荒漠地洞遺蹟內部機構現已成功啟用！<hex:02100103><hex:02100103>設施內配備的諸多輝石盡數亮起，可以說正逐漸恢復其原始形態。<hex:02100103>先驅者們因何目的建造此遺蹟，又是如何加以利用的……我們或許也將逐步揭開這些謎團。<hex:02100103><hex:02100103>而關鍵線索，似乎就在於從遺蹟最深處發現的結晶體「元形晶」。<hex:02100103>它簡直就像是小型版的自形晶。<hex:02100103>若能參照大地基地設施的方式將其啟用，想必能為今後的解析工作帶來重大進展！
46,[第13期],元形晶修復完成,位於荒漠地洞遺蹟最深處的元形晶現已成功修復！<hex:02100103>正如總部基地的自形晶那般，此刻它正散發著如同樹影新葉般的翠綠光輝。<hex:02100103><hex:02100103>據研究團隊分析，該構造物雖與導石等小型設施材質相同，但其純度卻有著天壤之別。<hex:02100103>經此一提，色澤看上去似乎確實更為濃郁幾分。<hex:02100103>或許這意味著，這類幾乎不會阻礙以太流通過的高純度素材正是建造大規模設施必不可少的要素。<hex:02100103><hex:02100103>無論如何，重啟工作這才剛剛完成，詳細調查還需等待進一步展開。不過也有學者指出，它和自形晶的以太波長或許存在著共鳴現象。<hex:02100103>假以時日，兩處設施之間很可能浮現出某種未知的關聯。
